Block Type,96well,,
Chemistry,TAQMAN,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.3\experiments\qPCR_brk_2024-11-08.eds,,
Experiment Run End Time,2024-11-08 12:46:44 PM EST,,
Instrument Type,steponeplus,,
Passive Reference,ROX,,
,,,
Well,Cycle,FAM,ROX
E12,7,10276.19238,23116.2832
F1,7,9454.401367,22050.31445
F2,7,8152.290527,20890.33594
F3,7,10506.08203,30347.32813
F4,7,8738.420898,26782.22852
F5,7,9223.507813,22584.78906
F6,7,10069.50879,23083.38477
F7,7,8686.175781,21731.08008
F8,7,12986.99316,36212.76563
F9,7,11827.0332,34661.46484
F10,7,9329.335938,22594.01172
F11,7,8547.382813,20991.28906
F12,7,8572.324219,19973.50781
G1,7,7270.387695,18677.34766
G2,7,8212.146484,20855.42969
G3,7,10734.80273,24344.55469
G4,7,11457.8623,33278.84375
G5,7,11504.44531,34350.64453
G6,7,9738.233398,22304.4375
G7,7,8400.263672,20884.32813
G8,7,11090.16895,32107.85938
G9,7,11022.11914,32258.70313
G10,7,7763.385742,19212.79688
G11,7,7496.273926,19260.5957
G12,7,8863.852539,20428.52344
H1,7,5683.261719,15653.92383
H2,7,7832.824707,20417.54297
H3,7,9751.388672,23151.75586
H4,7,10257.49414,30689.63281
H5,7,11460.04004,34546.62891
H6,7,9635.939453,22758.33203
H7,7,7829.04834,19974.29492
H8,7,10267.83301,30303.77344
H9,7,10430.30957,31582.24023
H10,7,7895.27832,19401.27344
H11,7,5533.938477,14831.53516
H12,7,7748.406738,18496.49609
A1,8,7949.425781,20074.85156
A2,8,15757.81738,35381.80078
A3,8,9954.729492,28524.0332
A4,8,10782.71094,31417.88086
A5,8,8586.325195,20905.61719
A6,8,9464.708984,21805.95313
A7,8,8679.116211,26784.78516
A8,8,11060.86523,31955.60352
A9,8,9446.115234,28147.45508
A10,8,8109.458008,19951.59375
A11,8,7919.347168,18463.87695
A12,8,7750.609863,18489.57617
B1,8,8049.55127,20193.53906
B2,8,8857.883789,22574.49414
B3,8,11118.2666,31537.34766
B4,8,10762.14063,31420.91992
B5,8,8557.198242,20316.21875
B6,8,10167.71484,22959.91016
B7,8,9270.97168,28170.88672
B8,8,10514.77441,30922.25391
B9,8,10533.24023,30237.49805
B10,8,8840.222656,21558.5293
B11,8,8168.425781,19805.24219
B12,8,9366.827148,21254.36523
C1,8,9190.856445,21678.2793
C2,8,8509.161133,21515.32031
C3,8,11404.7627,32427.37695
C4,8,12144.95801,35073.41016
C5,8,9743.446289,22925.77344
C6,8,12864.93359,28672.91211
C7,8,9053.591797,22361.29102
C8,8,11515.46289,33369.12109
C9,8,10795.87402,30329.72852
C10,8,9124.338867,21828.13672
C11,8,8027.47998,19741.53125
C12,8,10229.14063,22912.36719
D1,8,9368.135742,21811.10547
D2,8,8691.004883,21771.37109
D3,8,10584.39844,30627.80273
D4,8,10380.08984,30897.2207
D5,8,9451.892578,22298.96289
D6,8,9388.6875,22444.625
D7,8,7004.504883,17927.27148
D8,8,11454.72168,33128.26563
D9,8,11455.65723,32683.08789
D10,8,8871.124023,21381.51367
D11,8,7399.588867,18621.75195
D12,8,10326.32324,23195.88672
E1,8,8970.625,21449.21875
E2,8,8328.541016,20810.17188
E3,8,10262.58496,29882.92969
E4,8,13314.28125,37613.76172
E5,8,10272.45996,24786.13672
E6,8,9579.081055,21916.41406
E7,8,6026.677734,16133.46875
E8,8,11828.36523,33215.28516
E9,8,10706.87402,31049.82617
E10,8,8482.071289,20630.85742
E11,8,8151.449707,20080.24414
E12,8,10242.92871,23021.05078
F1,8,9434.094727,21963.76563
F2,8,8145.220703,20823.21875
F3,8,10519.06348,30233.14258
F4,8,8755.320313,26763.03906
F5,8,9256.535156,22622.29297
F6,8,10072.72949,23062.50195
F7,8,8663.055664,21632.52539
F8,8,12987.36719,36065.41406
F9,8,11792.75488,34511.55859
F10,8,9357.618164,22605.15234
F11,8,8559.394531,20962.66797
F12,8,8565.993164,19951.94727
G1,8,7256.868164,18658.25
G2,8,8239.774414,20906.64453
G3,8,10752.41211,24335.33594
G4,8,11497.51758,33319.79297
G5,8,11497.04492,34137.75391
G6,8,9752.054688,22280.34375
G7,8,8394.828125,20830.38086
G8,8,11069.59766,31881.61133
G9,8,10989.83984,32013.31641
G10,8,7786.218262,19260.51563
G11,8,7479.916504,19244.06055
